# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
hro,HRO,Harvey O Banks PP,623690.4,4187532.5,37.82683244,-121.59451652,37.79827347,-121.6236022,,HRO,dwr,Not sure why HRO vs HBP. HRO has daily pumping discharge
idb,IDB,CCWD Old River near Discovery Bay,625220.4,4194097.8,37.88577926,-121.57599842,37.88577903,-121.575998,,IDB,ccwd,
inb,INB,CCWD Rock Slough PP,613977.7,4206196.5,37.99627372,-121.70190186,37.99627352,-121.7019022,,INB,ccwd,
ish,B95283,Italian Slough Headwater near Byron,623050.7,4188795.5,37.83829916,-121.60156855,37.83829885,-121.6015684,,ISH,dwr,
jer,JER,Jersey Point,615024.3,4212414.2,38.05216615,-121.68898689,38.05216585,-121.6889874,D15,JER,usbr,Pier is used by USBR and possibly USGS for wq
mal,60,Sacramento River at Mallard Island,594757.5,4211123.3,38.04288273,-121.92011095,38.04288249,-121.9201106,D10A,MAL,dwr_des,Collocated with MWQI Mallardis
mhr,B95530,Middle River at Howard Rd Bridge,642165.8,4193399.5,37.87699961,-121.38349988,37.877,-121.3835,,MHR,dwr_ncro,
msd,B95820,San Joaquin at Mossdale Bridge,649126.1,4183436.8,37.78613048,-121.30644215,37.78613049,-121.3064425,C7A,MSD,dwr_ncro,Flow transect is 0.25 miles ds from bridge. Was once at bridge but ferrous metals interfered.
mtb,B95503,Middle River at Tracy Blvd,635780.8,4193802,37.88160042,-121.45600017,37.8816,-121.456,,MTB,dwr_ncro,
oad,B95366,Old River Barrier near DMC (Above),628312.5,4185763.1,37.81025134,-121.54232495,37.81055556,-121.5422222,,OAD,dwr_ncro,"At OAD, NCRO collects stage, EC, pH, DO, turbidity and chlorophyll above the temp barrier (B95366 and B9536600) and telemeters it. The B9536600 was collected by WQ group and discontinued 11/27/2017. Some EC/temp is still collected here by surface water group (relayed by Jared Frantzich)"
obd,B95365,Old River below Dam,627898.6,4185906.3,37.81159969,-121.54700031,37.8116,-121.547,,OBD,dwr_ncro,At OBD NCRO collects stage (B95365) and telemeters. 
bac,B95250,Old River at Bacon Island,625406.5,4203423.6,37.96978105,-121.57225845,37.96791667,-121.5743889,,BAC,dwr_ncro,Collocated with USGS 11313405 on USGS pile. Historically across river.
oh1,B95400,Old River at Head,647096.2,4185827.7,37.80800003,-121.32900047,37.808,-121.329,,OH1,dwr_ncro,
orb,B95270,Old River at Byron,625738.9,4194696.3,37.89110043,-121.56999943,37.8911,-121.57,,ORB,dwr_ncro,
ppt,80,Prisoners Point,627213.4,4213060.7,38.05635977,-121.54998321,38.0563597,-121.5499831,D29,PPT,dwr_des,Identified by Mike Dempsey
rsl,B95218,Rock Slough at Contra Costa Canal,619885.2,4204031,37.97600002,-121.63499978,37.976,-121.635,,RSL,dwr,
sal,SAL,San Andreas Landing,623513.4,4218211.2,38.10327865,-121.59125482,38.10327819,-121.5912553,C4,SAL,usbr,Confirmed by USBR
sjr,90,San Joaquin River Mccune Station near Vernalis,653005.8,4171637.9,37.67919084,-121.26488350,37.6791908,-121.2648837,C10A,SJR,dwr_des,C10A is jointly operated by DWR and IEP-EMP. Collocated with VER. Flow monitoring discontinued and considered unsuccessful so USGS is the best for that and it is upstream at the bridge.
sti,STI,Mokelumne River (South Fork) @ Staten Island,631586.4,4219845,38.11685872,-121.49890433,38.11685852,-121.4989048,C13,STI,usbr,
